Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0734+4017,07345189+4017558,,,,West2008,7:34:52,40:17:55,113.71624,40.29866,M9,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.812 ± 0.173,15.979 ± 0.174,15.385 ± 0.168,,,,,,,24.18 ± 1.22,24.13 ± 0.42,22.94 ± 0.27,20.28 ± 0.04,18.66 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+2813,07351550+2813464,073515.51+281346.5,,,West2008,7:35:16,28:13:46,113.81462,28.22952,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,10.1 ± 21.4,6.0 ± 25.8,,,,,,16.264 ± 0.080,15.714 ± 0.099,15.414 ± 0.142,15.189 ± 0.046,15.043 ± 0.108,12.595,,,,24.57 ± 1.26,23.10 ± 0.20,21.62 ± 0.08,19.33 ± 0.02,18.03 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+3231,07352184+3231179,073521.82+323117.4,,,West2008,7:35:22,32:31:18,113.84092,32.52161,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-22.7 ± 15.9,-40.3 ± 20.2,,,,,,16.062 ± 0.086,15.412 ± 0.116,15.161 ± 0.154,14.771 ± 0.040,14.822 ± 0.099,12.585,,,,23.34 ± 0.52,23.62 ± 0.28,22.29 ± 0.13,19.62 ± 0.02,18.01 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+2741,07353113+2741393,073531.09+274138.6,,,West2008,7:35:31,27:41:39,113.87967,27.6942,M6,West2008,...,...,...,...,...,...,...,,,,,-50.9 ± 11.5,-59.6 ± 14.1,,,,,,15.489 ± 0.043,14.862 ± 0.045,14.526 ± 0.065,14.363 ± 0.034,14.177 ± 0.059,12.688,,,,23.43 ± 0.64,22.04 ± 0.09,20.38 ± 0.03,18.30 ± 0.02,17.19 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+3150,07353185+3150150,073531.85+315015.1,,,West2008,7:35:32,31:50:15,113.88275,31.83757,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-0.6 ± 18.1,8.2 ± 21.5,,,,,,15.995 ± 0.084,15.414 ± 0.099,15.113 ± 0.140,14.938 ± 0.041,15.001 ± 0.111,12.622,,,,24.14 ± 0.86,22.64 ± 0.13,21.07 ± 0.05,18.98 ± 0.02,17.75 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+3709,07353126+3709058,073531.25+370905.8,,,West2008,7:35:32,37:08:33,113.88367,37.14261,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-2.2 ± 20.4,-1.0 ± 29.6,,,,,,16.003 ± 0.094,15.634 ± 0.145,15.421 ± 0.183,15.108 ± 0.044,15.192 ± 0.113,12.721,,,,24.36 ± 1.17,24.18 ± 0.46,22.70 ± 0.22,20.16 ± 0.03,18.58 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+3831,07354564+3831181,,,,West2008,7:35:46,38:31:18,113.94028,38.52168,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.237 ± 0.100,15.973 ± 0.164,15.113 ± 0.128,,,,,,,23.54 ± 0.67,22.84 ± 0.16,21.40 ± 0.07,19.21 ± 0.02,18.09 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+2808,07355510+2808167,073555.08+280816.4,,,West2008,7:35:55,28:08:17,113.97955,28.13796,M6,West2008,...,...,...,...,...,...,...,,,,,-16.7 ± 10.2,-28.9 ± 12.7,,,,,,15.229 ± 0.030,14.584 ± 0.038,14.256 ± 0.052,14.027 ± 0.029,13.801 ± 0.049,12.057,,,,24.17 ± 0.91,22.06 ± 0.10,20.44 ± 0.03,18.21 ± 0.02,17.00 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0735+3809,07355547+3809521,073555.39+380952.0,,,West2008,7:35:55,38:09:52,113.98102,38.16449,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-94.4 ± 13.0,-10.6 ± 18.8,,,,,,16.136 ± 0.095,15.383 ± 0.115,15.268 ± 0.122,15.157 ± 0.043,15.001 ± 0.095,12.746,,,,23.36 ± 0.64,23.39 ± 0.26,21.28 ± 0.06,19.10 ± 0.02,17.88 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+2040,07360172+2040480,,,,,7:36:02,20:40:48,114.0072,20.680017,M7,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+3911,07360665+3911085,073606.62+391108.8,,,West2008,7:36:07,39:11:09,114.02776,39.18577,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-35.2 ± 16.3,39.2 ± 23.4,,,,,,15.985 ± 0.080,15.371 ± 0.123,15.135 ± 0.109,14.792 ± 0.038,14.783 ± 0.079,12.763,,,,24.74 ± 0.89,23.49 ± 0.28,21.73 ± 0.09,19.47 ± 0.03,18.09 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+3307,07360724+3307527,073607.20+330751.9,,,West2008,7:36:07,33:07:53,114.02999,33.13134,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-40.4 ± 22.7,-69.5 ± 29.3,,,,,,16.250 ± 0.118,15.749 ± 0.138,15.535 ± 0.190,15.133 ± 0.043,15.136 ± 0.112,12.605 ± 0.494,,,,25.35 ± 0.69,23.77 ± 0.30,21.98 ± 0.10,19.39 ± 0.02,18.06 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+2855,07360767+2855563,073607.72+285556.1,,,West2008,7:36:08,28:55:56,114.03202,28.93227,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,54.5 ± 12.6,-13.2 ± 15.7,,,,,,15.612 ± 0.042,15.056 ± 0.056,14.753 ± 0.082,14.585 ± 0.036,14.477 ± 0.066,11.961,,,,24.35 ± 0.92,22.41 ± 0.11,21.04 ± 0.05,18.68 ± 0.02,17.43 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+3303,07361220+3303523,073612.20+330352.4,,,West2008,7:36:12,33:03:52,114.05083,33.06455,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,0.1 ± 10.4,1.6 ± 14.3,,,,,,15.556 ± 0.067,15.022 ± 0.080,14.635 ± 0.087,14.267 ± 0.032,14.013 ± 0.050,12.732,,,,24.03 ± 0.74,25.09 ± 0.56,22.54 ± 0.16,19.48 ± 0.02,17.85 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+3859,07363242+3859503,073632.39+385949.7,,,West2008,7:36:32,38:59:50,114.13516,38.99721,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-33.5 ± 20.7,-60.5 ± 29.7,,,,,,16.473 ± 0.121,15.418 ± 0.129,15.250 ± 0.125,15.162 ± 0.043,14.882 ± 0.083,12.534,,,,25.56 ± 0.72,23.97 ± 0.39,22.34 ± 0.14,19.73 ± 0.03,18.23 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+3336,07364583+3336418,073645.76+333641.0,,,West2008,7:36:46,33:36:42,114.19097,33.61153,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-79.7 ± 21.9,-69.9 ± 27.4,,,,,,16.444 ± 0.131,15.580 ± 0.120,15.507 ± 0.192,15.153 ± 0.044,14.947 ± 0.092,12.738,,,,24.18 ± 0.87,22.93 ± 0.17,21.45 ± 0.06,19.23 ± 0.02,18.01 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0736+3740,07365578+3740302,073655.76+374030.3,,,West2008,7:36:56,37:40:31,114.23227,37.67514,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-21.7 ± 21.2,7.5 ± 31.3,,,,,,16.347 ± 0.111,15.466 ± 0.119,15.463 ± 0.158,15.132 ± 0.045,14.814 ± 0.082,12.182,,,,23.63 ± 0.65,22.49 ± 0.13,21.20 ± 0.06,19.00 ± 0.01,17.88 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+2831,07370320+2831207,073703.21+283120.7,,,West2008,7:37:03,28:31:21,114.26337,28.52243,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,4.7 ± 10.2,3.9 ± 11.9,,,,,,14.956 ± 0.028,14.416 ± 0.034,14.077 ± 0.046,13.860 ± 0.029,13.695 ± 0.046,11.969,,,,25.48 ± 0.98,21.31 ± 0.05,19.72 ± 0.02,17.74 ± 0.02,16.63 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+3340,07371608+3340036,073716.07+334003.9,,,West2008,7:37:16,33:40:04,114.317,33.6677,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-3.6 ± 11.2,19.7 ± 14.2,,,,,,15.646 ± 0.062,14.977 ± 0.073,14.696 ± 0.092,14.455 ± 0.032,14.340 ± 0.058,12.354,,,,25.74 ± 0.67,22.82 ± 0.16,21.13 ± 0.05,18.71 ± 0.01,17.45 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+3025,07371738+3025287,073717.38+302528.6,,,West2008,7:37:17,30:25:29,114.32244,30.42461,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,0.9 ± 10.8,-11.8 ± 14.3,,,,,,15.498 ± 0.058,14.798 ± 0.063,14.495 ± 0.079,14.339 ± 0.034,14.106 ± 0.050,12.719,,,,24.92 ± 0.92,21.90 ± 0.06,20.32 ± 0.03,18.36 ± 0.02,17.20 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+3344,07372652+3344449,073726.53+334443.5,,,West2008,7:37:27,33:44:45,114.36043,33.74579,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,11.1 ± 17.6,-113.1 ± 22.7,,,,,,16.410 ± 0.117,15.305 ± 0.101,15.296 ± 0.155,15.034 ± 0.044,14.994 ± 0.104,12.697,,,,24.50 ± 0.99,24.94 ± 0.60,23.66 ± 0.38,20.28 ± 0.04,18.59 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+2353,07373477+2353159,073734.75+235315.9,,,West2008,7:37:35,23:53:16,114.39485,23.88777,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-32.1 ± 15.9,3.1 ± 18.2,,,,,,16.053 ± 0.075,15.384 ± 0.106,15.219 ± 0.142,14.896 ± 0.039,14.559 ± 0.074,12.622,,,,24.42 ± 1.27,22.97 ± 0.21,21.39 ± 0.07,19.13 ± 0.02,17.90 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+3114,07374364+3114162,,,,West2008,7:37:42,31:13:27,114.42471,31.22408,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.373 ± 0.115,15.865 ± 0.160,15.675 ± 0.225,,,,,,,23.64 ± 0.80,24.92 ± 0.59,23.57 ± 0.38,20.74 ± 0.05,18.97 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+4003,07374528+4003595,073745.25+400359.0,,,West2008,7:37:45,40:03:59,114.4386,40.06649,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-28.7 ± 11.3,-35.1 ± 16.2,,,,,,15.766 ± 0.067,15.152 ± 0.084,14.999 ± 0.138,14.596 ± 0.034,14.562 ± 0.073,12.470 ± 0.442,,,,23.07 ± 0.40,22.50 ± 0.13,20.95 ± 0.04,18.79 ± 0.02,17.57 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+4049,07375337+4049085,073753.39+404908.0,,,West2008,7:37:53,40:49:08,114.47244,40.81891,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,16.4 ± 18.7,-41.0 ± 29.0,,,,,,16.188 ± 0.101,15.881 ± 0.160,>15.876,15.198 ± 0.045,15.206 ± 0.125,12.737,,,,25.92 ± 0.68,22.87 ± 0.15,21.08 ± 0.06,19.12 ± 0.02,18.01 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0737+4114,07375364+4114519,073753.68+411451.8,,,West2008,7:37:54,41:14:52,114.47368,41.24777,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,38.8 ± 17.7,-9.1 ± 28.0,,,,,,16.205 ± 0.097,15.524 ± 0.118,15.106 ± 0.164,15.009 ± 0.043,14.702 ± 0.076,12.199,,,,23.40 ± 0.75,24.14 ± 0.39,22.44 ± 0.18,20.03 ± 0.03,18.27 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0738+4000,07380398+4000398,,,,West2008,7:38:04,40:00:40,114.51677,40.01108,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.291 ± 0.109,15.714 ± 0.134,15.144 ± 0.158,,,,,,,25.56 ± 0.63,22.80 ± 0.16,21.38 ± 0.06,19.15 ± 0.02,18.11 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0738+3043,07383481+3043269,073834.77+304326.8,,,West2008,7:38:35,30:43:27,114.64497,30.72418,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-46.2 ± 13.7,-5.9 ± 16.9,,,,,,15.867 ± 0.075,15.323 ± 0.094,14.776 ± 0.092,14.729 ± 0.036,14.405 ± 0.073,12.551,,,,23.52 ± 0.59,23.13 ± 0.19,21.48 ± 0.06,18.93 ± 0.02,17.52 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0738+2942,07384324+2942571,073843.23+294256.8,,,West2008,7:38:43,29:42:57,114.68016,29.71586,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-4.5 ± 9.5,-27.9 ± 11.8,,,,,,14.911 ± 0.032,14.359 ± 0.032,13.978 ± 0.046,13.814 ± 0.029,13.564 ± 0.039,12.048 ± 0.301,,,,25.00 ± 0.85,21.51 ± 0.05,19.89 ± 0.03,17.79 ± 0.01,16.67 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0738+2416,07384554+2416079,073845.53+241607.8,,,West2008,7:38:45,24:16:30,114.68899,24.27487,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-7.0 ± 11.5,-11.2 ± 13.5,,,,,,14.666 ± 0.026,14.295 ± 0.030,14.255 ± 0.054,14.129 ± 0.031,14.216 ± 0.062,12.467,,,,26.50 ± 0.47,23.63 ± 0.34,21.31 ± 0.07,20.21 ± 0.04,19.60 ± 0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0738+2746,07384826+2746562,073848.25+274656.1,,,West2008,7:38:48,27:46:56,114.7011,27.78226,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-2.1 ± 8.3,-8.6 ± 9.7,,,,,,14.328 ± 0.020,13.745 ± 0.027,13.396 ± 0.030,13.105 ± 0.026,12.889 ± 0.030,11.911,,,,23.50 ± 0.76,21.76 ± 0.07,20.33 ± 0.03,17.70 ± 0.02,16.24 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0738+4239,07385327+4239271,073853.23+423926.9,,,West2008,7:38:53,42:39:27,114.72185,42.65745,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-44.1 ± 20.1,-24.3 ± 32.7,,,,,,16.547 ± 0.124,15.853 ± 0.138,15.558 ± 0.192,15.453 ± 0.049,15.476 ± 0.130,12.821,,,,23.25 ± 0.55,23.03 ± 0.19,21.27 ± 0.06,19.20 ± 0.02,18.13 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+2850,07391121+2850562,073911.24+285056.1,,,West2008,7:39:11,28:50:56,114.79677,28.84897,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,35.9 ± 26.7,-12.6 ± 31.8,,,,,,16.624 ± 0.108,15.987 ± 0.123,15.823 ± 0.209,15.442 ± 0.054,15.106 ± 0.107,12.673,,,,23.98 ± 0.84,22.83 ± 0.16,21.38 ± 0.06,19.28 ± 0.02,18.21 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+2807,07391480+2807002,073914.79+280659.6,,,West2008,7:39:15,28:07:00,114.8117,28.11664,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-18.9 ± 14.1,-50.6 ± 16.5,,,,,,15.908 ± 0.054,15.335 ± 0.070,14.783 ± 0.082,14.769 ± 0.037,14.506 ± 0.071,12.26,,,,23.77 ± 0.88,22.36 ± 0.10,20.89 ± 0.04,18.82 ± 0.02,17.62 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+5031,07393210+5031077,073932.00+503107.3,,HIP 37283 B,Deacon2014,7:39:32,50:31:07,114.88378,50.518818,...,...,M6,Deacon2014,...,...,...,...,...,45.5,1.2,1.2,VanLeuuwen2007,-89.0 ± 5.3,-34.0 ± 9.9,,,,,,12.797 ± 0.025,12.234 ± 0.029,11.943 ± 0.023,11.631 ± 0.024,11.425 ± 0.021,11.101 ± 0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+3237,07393381+3237543,,,,West2008,7:39:32,32:38:13,114.88449,32.63699,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.187 ± 0.085,15.565 ± 0.127,15.328 ± 0.153,,,,,,,24.26 ± 0.83,22.99 ± 0.16,21.35 ± 0.06,19.45 ± 0.02,18.40 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+2323,07393293+2323592,073932.95+232359.0,,,West2008,7:39:33,23:23:59,114.88726,23.39982,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,13.5 ± 12.6,-15.8 ± 14.3,,,,,,15.621 ± 0.053,15.015 ± 0.075,14.652 ± 0.086,14.372 ± 0.033,14.154 ± 0.057,12.5,,,,25.85 ± 0.51,23.01 ± 0.15,21.75 ± 0.07,19.04 ± 0.02,17.52 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+4419,07393673+4419363,073936.75+441935.8,,,West2008,7:39:37,44:19:36,114.90309,44.32674,M9,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,13.6 ± 18.5,-50.7 ± 31.1,,,,,,16.632 ± 0.130,16.002 ± 0.169,15.554 ± 0.195,15.319 ± 0.046,15.232 ± 0.110,12.61,,,,23.24 ± 0.48,23.97 ± 0.38,23.32 ± 0.33,20.63 ± 0.06,18.95 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+1305,07394386+1305070,,,,,7:39:44,13:05:07,114.93276,13.085302,M8,Cruz2007,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+3251,07394834+3251077,,,,West2008,7:39:48,32:51:08,114.95136,32.8523,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.211 ± 0.087,15.740 ± 0.142,15.080 ± 0.123,,,,,,,24.54 ± 0.89,22.76 ± 0.13,21.21 ± 0.05,19.09 ± 0.02,17.94 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+2414,07395588+2414455,073955.87+241445.1,,,West2008,7:39:56,24:14:45,114.98282,24.24592,M7,West2008,...,...,...,...,...,...,...,,,,,-18.4 ± 10.7,-29.6 ± 12.1,,,,,,15.120 ± 0.030,14.454 ± 0.039,14.159 ± 0.047,13.900 ± 0.029,13.698 ± 0.048,12.271,,,,23.65 ± 0.66,22.26 ± 0.08,20.66 ± 0.03,18.20 ± 0.02,16.87 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+2936,07395673+2936540,073956.64+293652.5,,,West2008,7:39:57,29:36:54,114.98627,29.61493,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-96.0 ± 14.1,-123.5 ± 17.2,,,,,,15.728 ± 0.051,15.404 ± 0.074,14.817 ± 0.080,14.740 ± 0.038,14.548 ± 0.077,12.627,,,,24.74 ± 1.15,22.32 ± 0.10,20.78 ± 0.04,18.49 ± 0.01,17.29 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+3829,07395684+3829099,073956.78+382909.0,,,West2008,7:39:57,38:29:10,114.98681,38.48605,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-55.7 ± 10.0,-70.3 ± 14.3,,,,,,15.472 ± 0.054,14.755 ± 0.061,14.386 ± 0.077,14.299 ± 0.032,14.101 ± 0.054,12.066,,,,24.82 ± 1.16,22.53 ± 0.12,21.01 ± 0.05,18.62 ± 0.02,17.26 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0739+3405,07395806+3405282,073958.04+340528.1,,,West2008,7:39:58,34:05:28,114.99193,34.09114,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-21.7 ± 11.7,-8.8 ± 15.0,,,,,,15.462 ± 0.049,14.782 ± 0.063,14.580 ± 0.076,14.317 ± 0.035,14.155 ± 0.061,12.605,,,,24.91 ± 0.84,22.17 ± 0.08,20.44 ± 0.03,18.32 ± 0.01,17.17 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+2248,07400162+2248351,074001.62+224835.3,,,West2008,7:40:02,22:48:35,115.00677,22.80975,M6,West2008,...,...,...,...,...,...,...,,,,,-3.5 ± 11.8,18.0 ± 13.3,,,,,,15.365 ± 0.042,14.762 ± 0.059,14.396 ± 0.060,14.236 ± 0.031,14.006 ± 0.057,12.437,,,,23.07 ± 0.53,22.18 ± 0.12,20.56 ± 0.03,18.33 ± 0.01,17.14 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+2905,07401048+2905506,074010.49+290550.7,,,West2008,7:40:10,29:05:51,115.0437,29.09742,M6,West2008,...,...,...,...,...,...,...,,,,,5.7 ± 9.4,11.0 ± 11.5,,,,,,15.004 ± 0.032,14.397 ± 0.036,14.115 ± 0.046,13.890 ± 0.029,13.598 ± 0.037,12.726,,,,23.58 ± 0.67,21.54 ± 0.05,19.90 ± 0.02,17.76 ± 0.02,16.63 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+2233,07401608+2233585,074016.07+223358.1,,,West2008,7:40:16,22:33:58,115.06702,22.56623,M6,West2008,...,...,...,...,...,...,...,,,,,-20.0 ± 19.3,-28.5 ± 22.7,,,,,,16.044 ± 0.084,15.442 ± 0.110,15.291 ± 0.149,15.183 ± 0.045,15.181 ± 0.118,12.192,,,,23.16 ± 0.56,22.56 ± 0.12,21.10 ± 0.05,18.97 ± 0.02,17.83 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+2900,07402163+2900539,074021.60+290053.7,,,West2008,7:40:22,29:00:54,115.09014,29.015,M6,West2008,...,...,...,...,...,...,...,,,,,-31.2 ± 15.5,-9.5 ± 19.9,,,,,,16.071 ± 0.063,15.410 ± 0.074,15.047 ± 0.104,14.920 ± 0.040,14.713 ± 0.081,12.491,,,,23.41 ± 0.79,22.78 ± 0.17,21.23 ± 0.06,19.01 ± 0.03,17.81 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+3752,07402619+3752396,074026.28+375239.9,,,West2008,7:40:26,37:52:40,115.10935,37.87774,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,85.5 ± 24.3,24.8 ± 38.2,,,,,,16.662 ± 0.151,16.206 ± 0.228,>15.123,15.309 ± 0.048,14.943 ± 0.092,12.578 ± 0.460,,,,25.06 ± 0.81,22.75 ± 0.14,21.27 ± 0.05,19.22 ± 0.02,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+2733,07404302+2733417,074043.01+273341.8,,,West2008,7:40:43,27:33:42,115.17924,27.56163,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-5.9 ± 17.4,2.4 ± 22.5,,,,,,16.271 ± 0.075,15.611 ± 0.085,15.218 ± 0.120,15.105 ± 0.043,14.872 ± 0.086,12.423,,,,24.52 ± 1.52,22.69 ± 0.16,21.09 ± 0.05,19.06 ± 0.02,17.92 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+2246,07404915+2246411,074049.13+224641.0,,,West2008,7:40:49,22:46:41,115.20468,22.7781,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-21.3 ± 22.3,-2.4 ± 25.3,,,,,,16.514 ± 0.120,15.625 ± 0.142,15.284 ± 0.129,15.260 ± 0.047,15.389 ± 0.138,12.587,,,,23.92 ± 0.83,23.07 ± 0.18,21.49 ± 0.06,19.41 ± 0.03,18.14 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
