Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0004-1019,00040071-1019397,000400.66-101940.2,,,West2008,0:04:01,-10:19:40,1.002953,-10.3278,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-67.1 ± 12.3,-46.9 ± 12.4,,,,,,15.098 ± 0.043,14.456 ± 0.044,14.002 ± 0.054,13.842 ± 0.028,13.679 ± 0.044,11.730 ± 0.260,,,,25.11 ± 1.17,21.74 ± 0.07,20.01 ± 0.03,17.91 ± 0.02,16.77 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0004-0042,00040476-0042520,000404.80-004251.1,,,West2008,0:04:05,23:17:07,1.019897,-0.71439,M8,West2008,...,...,...,...,...,...,...,,,,,54.2 ± 15.5,72.8 ± 18.1,,,,,,15.772 ± 0.050,15.048 ± 0.071,14.784 ± 0.094,14.474 ± 0.034,14.256 ± 0.057,12.625,,,,25.47 ± 1.20,23.81 ± 0.41,22.06 ± 0.12,19.32 ± 0.03,17.72 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0004-0928,00041485-0928039,000414.78-092804.2,,,West2008,0:04:15,-9:28:04,1.061706,-9.46787,M6,West2008,...,...,...,...,...,...,...,,,,,-77.4 ± 35.1,-23.7 ± 32.7,,,,,,16.300 ± 0.084,15.869 ± 0.155,15.649 ± 0.215,15.468 ± 0.052,15.117 ± 0.111,12.623,,,,25.54 ± 0.89,22.90 ± 0.18,21.45 ± 0.08,19.29 ± 0.03,18.14 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0005-0032,00050097-0032450,000500.97-003245.0,,,West2008,0:05:03,23:27:05,1.262406,-0.5484,M6,West2008,...,...,...,...,...,...,...,,,,,-9.4 ± 14.5,4.5 ± 15.1,,,,,,15.369 ± 0.038,14.794 ± 0.058,14.758 ± 0.102,14.345 ± 0.033,14.348 ± 0.061,12.375,,,,26.05 ± 0.61,22.79 ± 0.15,20.92 ± 0.05,18.64 ± 0.02,17.41 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0005-1035,00051092-1035325,000510.88-103531.9,,,West2008,0:05:11,-10:35:32,1.295489,-10.59234,M6,West2008,...,...,...,...,...,...,...,,,,,-44.0 ± 12.5,55.1 ± 12.7,,,,,,15.088 ± 0.028,14.495 ± 0.044,14.180 ± 0.056,13.963 ± 0.030,13.738 ± 0.042,11.937,,,,23.00 ± 0.74,21.97 ± 0.09,20.19 ± 0.03,17.97 ± 0.02,16.79 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0005-2157,00054844-2157196,,,LEHPM 1-162,Pokorny2004,0:05:48,-21:57:18,1.4486667,-21.954889,M8.5,Pokorny2004,M8,Bardalez-Gagliuffi2014,...,...,...,...,...,,,,,,,,,,,,13.274 ± 0.022,12.617 ± 0.023,12.201 ± 0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0005-0913,00055687-0913059,,,,West2008,0:05:57,-9:13:07,1.486975,-9.21855,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.548 ± 0.111,16.212 ± 0.190,15.468 ± 0.186,,,,,,,24.46 ± 1.27,24.20 ± 0.51,23.00 ± 0.30,20.25 ± 0.05,18.72 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-0854,00061630-0854336,000616.29-085434.4,,,West2008,0:06:16,-8:54:34,1.567869,-8.90942,M6,West2008,...,...,...,...,...,...,...,,,,,-13.6 ± 29.4,-65.8 ± 29.5,,,,,,16.460 ± 0.111,15.737 ± 0.141,15.404 ± 0.177,15.297 ± 0.048,15.202 ± 0.127,12.566,,,,23.37 ± 0.88,23.05 ± 0.21,21.47 ± 0.08,19.23 ± 0.03,18.16 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-6436,00065794-6436542,,,,Reid2008,0:06:58,-64:36:54,1.7414167,-64.615056,M9:,Reid2008,...,...,...,...,...,...,...,,,,,,,,,,,,13.385 ± 0.023,12.664 ± 0.029,12.169 ± 0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0007-2458,00070787-2458042,,,2MASS J0007078-245804,Cruz2007,0:07:08,-24:58:04,1.7827917,-24.967833,M7,Cruz2007,M7.5,Bardalez-Gagliuffi2014,...,...,...,...,...,,,,,,,,,,,,13.115 ± 0.021,12.447 ± 0.022,12.060 ± 0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
