Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0823+1549,08234700+1549475,082346.99+154947.3,082346.99+154947.4,,Schmidt2010,8:23:47,15:49:47,125.94579,15.829833,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-11.1 ± 18.3,-19.6 ± 21.1,...,...,,11.2 ± 10.4,Schmidt2010,16.457 ± 0.107,15.580 ± 0.115,14.957 ± 0.125,14.939 ± 0.041,14.663 ± 0.079,> 12.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0823+2428,08234818+2428577,082348.05+242858.2,,,Reid2008,8:23:48,24:28:58,125.9507505,24.482694,L3,Reid2008,...,...,...,...,...,...,...,...,...,...,...,-171.0 ± 9.7,53.1 ± 11.0,...,...,,40.6 ± 20.0,Schmidt2010,14.986 ± 0.042,14.060 ± 0.044,13.377 ± 0.029,12.810 ± 0.024,12.497 ± 0.026,12.165 ± 0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0825+2115,08251968+2115521,082519.23+211548.5,,2MASSI J0825196+211552,Kirkpatrick2000,8:25:20,21:15:52,126.3319995,21.264472,L7.5,Kirkpatrick2000,L6,Knapp2004,...,...,...,...,...,10.66,0.11,0.11,Dahn2002,-510.9 ± 7.3,-294.2 ± 7.9,-509.68 ± 1.58,-288.36 ± 1.91,Dahn2002,20.5 ± 20.0,Schmidt2010,15.100 ± 0.032,13.792 ± 0.031,13.028 ± 0.025,12.083 ± 0.023,11.565 ± 0.021,10.392 ± 0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0825+3100,08253987+3100411,082539.86+310040.3,082539.87+310040.7,,Schmidt2010,8:25:40,31:00:41,126.4161195,31.011306,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-15.4 ± 16.7,-64.2 ± 23.1,...,...,,55.9 ± 10.2,Schmidt2010,16.444 ± 0.135,15.362 ± 0.116,15.127 ± 0.155,14.785 ± 0.037,14.436 ± 0.059,> 12.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0826-1640,08264116-1640382,082640.46-164032.0,,WISEA J082640.45-164031.8,Kirkpatrick2014,8:26:40,-16:40:32,126.668544,-16.6755201,...,...,L9,Kirkpatrick2014,...,...,...,...,...,...,...,...,...,-832.3 ± 9.4,513.5 ± 10.5,,,,...,...,15.785 ± 0.064,14.604 ± 0.064,14.110 ± 0.066,13.405 ± 0.026,13.036 ± 0.031,11.872 ± 0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0826+1939,08264262+1939224,082642.67+193921.9,08264265+19392195,,West2008,8:26:43,19:39:22,126.67758,19.656222,L0,West2008,M9,Bardalez-Gagliuffi2014,Galactic Extinction > 0.2 mag,West2008,...,...,...,...,...,...,...,55.7 ± 9.4,-42.0 ± 19.2,,,,-46.6 ± 5.0,West2008,14.777 ± 0.029,14.009 ± 0.033,13.581 ± 0.033,13.255 ± 0.026,12.942 ± 0.033,> 11.812,,,,25.13 ± 1.02,23.50 ± 0.29,21.58 ± 0.07,18.87 ± 0.02,16.98 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0827-0204,...,...,,ULAS J082707.67-020408.2,Lodieu2007,8:27:08,-2:04:08,126.78196,-2.0689444,...,...,T5.5,Lodieu2007,...,...,...,...,...,38.46,4.59,4.59,Marocco2010a,,,...,...,,,,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,18.29 ± 0.05,Lodieu2007,17.19 ± 0.02,Lodieu2007,17.44 ± 0.05,Lodieu2007,17.52 ± 0.11,Lodieu2007,,,,,,,,,,,,,X,
J0828-1309,08283419-1309198,082833.75-130919.5,,SSSPM J0829-1309,Scholz2002,8:28:34,-13:09:20,127.1424585,-13.1555,L2,Lodieu2005,L2:,Marocco2013,...,...,...,...,...,11.37,0.1,0.1,Dieterich2014,-571.6 ± 8.6,28.4 ± 8.8,-547.48 ± 17.87,77.92 ± 9.89,Phan-Bao2008,25.8 ± 0.1,Blake2010,12.803 ± 0.027,11.851 ± 0.020,11.297 ± 0.019,10.916 ± 0.024,10.667 ± 0.022,10.132 ± 0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0829+1456,08290664+1456225,082906.58+145619.6,,2MASSW J0829066+145622,Kirkpatrick2000,8:29:07,14:56:23,127.277667,14.939583,L2,Kirkpatrick2000,L1,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-60.3 ± 8.9,-237.3 ± 9.3,...,...,,-1.1 ± 9.4,Schmidt2010,14.750 ± 0.028,13.801 ± 0.035,13.166 ± 0.031,12.775 ± 0.024,12.550 ± 0.027,> 12.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0829+3439,08292820+3439538,082928.19+343953.5,082928.21+343954.0,,Schmidt2010,8:29:28,34:39:54,127.3675395,34.665,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-7.6 ± 14.3,-30.0 ± 20.0,...,...,,...,...,16.102 ± 0.100,15.427 ± 0.112,15.061 ± 0.139,14.522 ± 0.033,14.232 ± 0.056,> 12.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0829+2655,08295707+2655099,082957.00+265509.3,,2MASSW J0829570+265510,Kirkpatrick2000,8:29:57,26:55:10,127.48775,26.919417,L6.5,Kirkpatrick2000,L6.5::,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-80.8 ± 12.5,-45.5 ± 14.1,...,...,,...,...,17.109 ± 0.186,15.807 ± 0.129,14.959 ± 0.095,13.900 ± 0.029,13.399 ± 0.036,> 12.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0830+4828,08300825+4828482,083007.10+482839.6,,SDSSp J083008.12+482847.4,Geballe2002,8:30:08,48:28:48,127.5343755,48.480056,L8,Kirkpatrick2008,L9,Geballe2002,...,...,...,...,...,13.09,0.59,0.59,Vrba2004,-1014.7 ± 5.9,-764.3 ± 10.0,-1006.25 ± 5.54,-769.90 ± 4.75,Vrba2004,...,...,15.444 ± 0.046,14.343 ± 0.036,13.676 ± 0.037,12.915 ± 0.023,12.461 ± 0.026,11.713 ± 0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0830+0128,08304878+0128311,083048.91+012826.8,083048.80+012831.1,,Knapp2004,8:30:49,1:28:31,127.70325,1.475306,...,...,T4.5,Burgasser2006,...,...,...,...,...,23.2,3.28,3.28,Faherty2012,195.8 ± 30.7,-424.3 ± 32.9,188.85 ± 2.97,-351.48 ± 2.92,Dupuy2012,...,...,16.289 ± 0.111,16.140 ± 0.213,> 16.358,15.655 ± 0.057,14.037 ± 0.049,12.308 ± 0.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0831+1538,08312221+1538511,083121.96+153850.0,083122.08+153850.3,,Schmidt2010,8:31:22,15:38:50,127.842,15.647306,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-288.4 ± 11.3,-89.2 ± 12.6,...,...,,0.2 ± 5.7,Schmidt2010,15.786 ± 0.088,14.893 ± 0.073,14.537 ± 0.093,14.078 ± 0.030,13.741 ± 0.049,> 12.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0832-0128,08320451-0128360,083204.56-012835.8,,2MASSW J0832045-012835,Kirkpatrick2000,8:32:05,-1:28:36,128.0187915,-1.476667,L1.5,Kirkpatrick2000,L1,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,53.7 ± 9.2,15.6 ± 9.9,...,...,,20.0 ± 1.3,Guenther2003,14.128 ± 0.028,13.318 ± 0.022,12.712 ± 0.026,12.411 ± 0.024,12.173 ± 0.025,11.809 ± 0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0833+0052,...,083337.83+005214.2,,WISE J083337.83+005214.2,Pinfield2013,8:33:38,0:52:14,128.4075435,0.8705018,...,...,T9,Pinfield2013,...,...,...,...,...,...,...,...,...,,,860 ± 40,1680 ± 40,Pinfield2013,,,...,...,...,,,,,,,,,,,,,,,,,,17.02 ± 0.03,Pinfield2013,14.80 ± 0.03,Pinfield2013,,,,,,,,,,,,,,,,,,,,,,,,,,
J0834+0719,08342418+0719161,083424.05+071915.8,,,West2008,8:34:24,7:19:16,128.60049,7.32118,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,-198.3 ± 30.6,-30.6 ± 31.6,,,,113.4 ± 49.1,Schmidt2010;West2008,16.536 ± 0.107,15.835 ± 0.139,15.432 ± 0.142,15.141 ± 0.046,14.723 ± 0.086,> 12.072,,,,23.05 ± 0.41,22.75 ± 0.11,22.13 ± 0.09,20.63 ± 0.04,18.90 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0835+1953,08350622+1953050,083506.10+195303.7,083506.16+195304.4,,Chiu2006,8:35:06,19:53:04,128.7759165,19.884722,...,...,L4.5,Chiu2006,...,...,...,...,...,...,...,...,...,-155.5 ± 8.4,-111.5 ± 9.4,...,...,,...,...,16.094 ± 0.074,14.889 ± 0.056,14.319 ± 0.048,13.606 ± 0.026,13.221 ± 0.039,> 11.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0835-0819,08354256-0819237,083542.15-081920.2,,2MASSI J0835425-081923,Cruz2003,8:35:43,-8:19:24,128.927334,-8.32325,L5,Cruz2003,L4,Marocco2013,...,...,Hyades,...,...,8.53,0.81,0.81,Andrei2010,-547.7 ± 8.1,314.7 ± 8.6,...,...,...,...,...,13.169 ± 0.021,11.938 ± 0.022,11.136 ± 0.019,10.392 ± 0.022,10.035 ± 0.019,9.472 ± 0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0835+2224,08354537+2224310,083545.25+222430.8,08354533+2224308,,West2008,8:35:45,22:24:31,128.93888,22.40857,L0,West2008,M8.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-150.0 ± 12.0,-22.1 ± 14.6,,,,90.1 ± 25.0,West2008;Schmidt2010,15.735 ± 0.055,14.927 ± 0.060,14.447 ± 0.068,14.162 ± 0.030,13.848 ± 0.047,> 12.549,,,,25.14 ± 0.94,24.39 ± 0.42,22.53 ± 0.15,19.74 ± 0.02,17.82 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0835+0548,08355829+0548308,083558.21+054830.5,,,Reid2008,8:35:58,5:48:31,128.992875,5.808556,L2:,Reid2008,L1.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-118.3 ± 11.3,-27.1 ± 11.3,...,...,,...,...,14.533 ± 0.034,13.683 ± 0.036,13.168 ± 0.033,12.711 ± 0.025,12.403 ± 0.026,12.250 ± 0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0836+4503,08361142+4503195,083611.44+450319.5,083611.43+450319.5,,Schmidt2010,8:36:11,45:03:20,129.0476295,45.055417,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,29.7 ± 8.0,-6.1 ± 12.9,...,...,,-9.7 ± 16.7,Schmidt2010,15.268 ± 0.055,14.423 ± 0.058,13.925 ± 0.054,13.593 ± 0.026,13.396 ± 0.036,> 12.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0836+4949,08362199+4949312,083622.15+494933.1,08362199+4949315,,Schmidt2010,8:36:22,49:49:32,129.09162,49.825417,L0,Schmidt2010,M9.5:,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,135.5 ± 7.7,170.6 ± 13.7,,,,-27.8 ± 14.1,West2008;Schmidt2010,15.421 ± 0.060,14.639 ± 0.072,14.538 ± 0.118,13.983 ± 0.030,13.715 ± 0.039,> 12.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0836-1859,...,083641.10-185947.0,...,WISEPC J083641.12-185947.2,Kirkpatrick2011,8:36:41,-18:59:47,129.17133,-18.996444,...,...,T8 p,Kirkpatrick2011,Peculiar Spectrum,Kirkpatrick2011,...,...,...,...,...,...,...,,,...,...,,,,18.99 ± 0.22,18.79 ± 0.26,> 18.48,> 18.41,15.18 ± 0.10,> 12.47,> 9.18,,,...,...,...,...,...,,,,,,,16.884 ± 0.047,Kirkpatrick2011,15.091 ± 0.022,Kirkpatrick2011,,,,,...,...,...,...,...,...,...,...,,,,,,,,,,,,,X,2MASS JHK Photometry from the 2MASS camera at Bigelow
J0836+0526,08364635+0526426,083646.30+052642.6,08364634+0526426,,West2008,8:36:46,5:26:43,129.19312,5.4451667,L0,West2008,M9.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-73.6 ± 11.6,-4.3 ± 11.6,,,,30.0 ± 3.7,Schmidt2010;West2008,14.576 ± 0.035,13.905 ± 0.036,13.287 ± 0.033,13.047 ± 0.025,12.824 ± 0.029,> 12.237,,,,24.53 ± 1.01,23.52 ± 0.27,21.43 ± 0.07,18.73 ± 0.01,16.93 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0836+1835,08365239+1835455,083652.35+183544.8,083652.36+183544.9,,Schmidt2010,8:36:52,18:35:45,129.2181705,18.595806,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-45.2 ± 15.8,-60.4 ± 18.4,...,...,,30.4 ± 7.4,Schmidt2010,16.507 ± 0.115,15.880 ± 0.151,15.176 ± 0.102,14.761 ± 0.041,14.391 ± 0.112,> 10.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0837-0000,...,,,SDSSp J083717.22-000018.3 ; 2MASSA J08371718-0000179,Leggett2000,8:37:17,23:59:41,129.3215835,-0.004972,T0,Kirkpatrick2008,T1,Burgasser2006,...,...,...,...,...,29.67,11.84,11.84,Vrba2004,,,-15.23 ± 8.43,-172.33 ± 16.65,Vrba2004,,,17.101 ± 0.214,15.988 ± 0.173,> 15.674,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0837+0816,08372479+0816040,083724.71+081603.4,,,West2008,8:37:25,8:16:04,129.35324,8.26776,L0,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,...,...,...,...,-115.1 ± 16.9,-65.8 ± 18.7,,,,21.1 ± 6.1,West2008;Schmidt2010,16.125 ± 0.090,15.312 ± 0.098,14.758 ± 0.089,14.390 ± 0.032,14.104 ± 0.053,> 12.106,,,,25.65 ± 0.66,25.09 ± 0.55,22.55 ± 0.16,20.26 ± 0.05,18.43 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0837+1617,08373282+1617380,083732.80+161737.4,083732.80+161737.5,,Schmidt2010,8:37:33,16:17:38,129.38667,16.29375,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-23.4 ± 18.6,-47.6 ± 21.8,...,...,,...,...,16.595 ± 0.118,15.560 ± 0.099,15.110 ± 0.111,14.865 ± 0.039,14.686 ± 0.112,> 12.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0837-0041,...,,,ULAS J083756.19-004156.0,Pinfield2008,8:37:56,23:18:04,129.48413,-0.69888889,...,...,T3,Pinfield2008,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,19.64 ± 0.03,Pinfield2008,18.52 ± 0.09,Pinfield2008,18.60 ± 0.11,Pinfield2008,...,...,,,,,,,,,,,,,X,
J0837+1957,08375977+1957279,083759.78+195729.4,083759.75+195727.7,,Schmidt2010,8:38:00,19:57:28,129.49896,19.957694,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,23.3 ± 12.9,150.4 ± 14.7,...,...,,45.8 ± 17.6,Schmidt2010,16.364 ± 0.103,15.566 ± 0.108,14.933 ± 0.091,14.457 ± 0.034,14.112 ± 0.072,> 11.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0838+1511,08381155+1511155,083811.44+151115.1,,,Radigan2013,8:38:11,15:11:15,129.5477009,15.1875154,...,...,T3: + T3: + T4.5:,Radigan2013,Binary (Hierarchical Triple),Radigan2013,...,...,...,...,...,...,...,-124.6 ± 29.2,-32.2 ± 32.0,-121 ± 31,-32 ± 51,Radigan2013,...,...,16.645 ± 0.159,16.207 ± 0.171,16.20 ± 0.20,15.704 ± 0.062,14.681 ± 0.103,> 12.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS K Photometry is a synthetic magnitude derived from the spectrum ; Limit on SDSS-z’ magnitude from Marocco2014
J0839+4339,08392628+4339356,083926.26+433936.0,,,West2008,8:39:26,43:39:36,129.85936,43.66,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,-21.8 ± 18.1,31.3 ± 32.4,,,,14.3 ± 5.0,West2008,16.510 ± 0.163,15.661 ± 0.174,15.279 ± 0.216,14.859 ± 0.036,14.465 ± 0.063,12.413 ± 0.361,,,,23.57 ± 0.82,24.82 ± 0.69,23.07 ± 0.35,20.54 ± 0.06,18.64 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0840+4517,08400161+4517522,084001.58+451751.6,,,West2008,8:40:02,45:17:52,130.00677,45.29789,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,-28.7 ± 9.1,-58.6 ± 13.9,,,,87.5 ± 41.0,Schmidt2010;West2008,15.730 ± 0.065,14.933 ± 0.079,14.296 ± 0.058,13.933 ± 0.028,13.678 ± 0.040,> 12.764,,,,24.77 ± 0.89,24.70 ± 0.50,22.84 ± 0.19,20.12 ± 0.03,18.28 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0840+5430,08401643+5430019,084016.39+543002.1,084016.42+543002.1,,Zhang2009,8:40:16,54:30:02,130.068459,54.500528,L1,Zhang2009,...,...,...,...,...,...,...,...,...,...,...,-28.7 ± 10.5,11.2 ± 24.9,-502.25 ± 0.00,88.56 ± 0.00,Zhang2009,...,...,16.393 ± 0.117,15.512 ± 0.127,15.347 ± 0.153,14.748 ± 0.035,14.421 ± 0.058,12.836 ± 0.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0840+1434,08403612+1434247,084036.00+143423.9,084036.04+143424.3,,Schmidt2010,8:40:36,14:34:24,130.15017,14.573417,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-148.2 ± 8.9,-66.9 ± 9.0,...,...,,12.8 ± 15.0,Schmidt2010,16.226 ± 0.087,15.082 ± 0.065,14.615 ± 0.076,14.307 ± 0.031,14.027 ± 0.059,11.790 ± 0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0840+0759,...,,,ULAS J084036.72+075933.6,Burningham2010b,8:40:37,7:59:34,130.153,7.9926667,...,...,T4.5,Burningham2010b,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,19.98 ± 0.11,Burningham2010b,19.04 ± 0.08,Burningham2010b,19.40 ± 0.09,Burningham2010b,...,Burningham2010b,,,,,,,,,,,,,X,
J0841+6035,08410686+6035067,084106.81+603505.6,084106.85+603506.3,,Schmidt2010,8:41:07,60:35:06,130.27854,60.585083,L4,Schmidt2010,L1.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-28.3 ± 5.6,-98.9 ± 13.5,...,...,,-10.1 ± 20.0,Schmidt2010,15.943 ± 0.094,15.034 ± 0.099,14.690 ± 0.091,14.153 ± 0.029,13.911 ± 0.040,> 12.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0841+0058,...,,084149.77+005844.6,,Schmidt2010,8:41:50,0:58:45,130.4573805,0.979056,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0842+0936,...,,,ULAS J084211.68+093611.9,Burningham2010b,8:42:12,9:36:12,130.54867,9.6033056,...,...,T5.5,Burningham2010b,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,19.58 ± 0.18,Burningham2010b,18.38 ± 0.02,Burningham2010b,18.84 ± 0.02,Burningham2010b,19.08 ± 0.18,Burningham2010b,,,,,,,,,,,,,X,
J0843+3141,08430796+3141297,084307.91+314129.2,08430794+3141292,,Schmidt2010,8:43:08,31:41:29,130.78308,31.691444,L3,Schmidt2010,L2.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-48.9 ± 12.7,-45.1 ± 15.4,,,,27503.4 ± 23500.3,West2008;Schmidt2010,15.992 ± 0.099,15.221 ± 0.119,14.646 ± 0.111,13.960 ± 0.029,13.613 ± 0.042,11.827 ± 0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0843+1024,08433323+1024470,084333.33+102441.1,08433328+1024435,,Schmidt2010,8:43:33,10:24:44,130.88867,10.412083,L1,Schmidt2010,L2.5:,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,138.8 ± 10.9,-574.2 ± 11.9,...,...,,-19.9 ± 6.3,Schmidt2010,14.866 ± 0.038,14.085 ± 0.044,13.671 ± 0.040,13.151 ± 0.024,12.896 ± 0.030,12.145 ± 0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0844+2847,08440699+2847026,084407.02+284701.4,084407.00+284702.1,,Schmidt2010,8:44:07,28:47:02,131.02917,28.783917,L2,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,38.7 ± 9.9,-98.4 ± 11.9,...,...,,2.1 ± 11.5,Schmidt2010,15.868 ± 0.056,14.820 ± 0.050,14.335 ± 0.057,13.948 ± 0.029,13.633 ± 0.043,12.523 ± 0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0844+4036,08444452+4036199,084444.67+403619.9,084444.58+403620.0,,Schmidt2010,8:44:45,40:36:20,131.1857505,40.605556,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,140.3 ± 13.0,3.5 ± 20.0,...,...,,-22.8 ± 10.8,Schmidt2010,16.204 ± 0.087,15.542 ± 0.105,15.068 ± 0.135,14.604 ± 0.031,14.291 ± 0.050,> 12.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0845+2148,...,084510.65+214817.2,084510.66+214817.1,UGCS J084510.66+214817.1,Boudreault2013,8:45:11,21:48:17,131.2943546,21.8047862,L0,Boudreault2013,...,...,Slightly Young?,Boudreault2013,Praesepe,Candidate,Boudreault2013,...,...,...,...,,,-34 ± 5,-12.8 ± 5.0,Boudreault2013,,,...,...,...,15.818 ± 0.072,15.065 ± 0.150,> 11.806,> 8.205,,,,,,,,,,,,,,...,...,...,...,,,,,18.376 ± 0.055,Lawrence2012,17.419 ± 0.033,Lawrence2012,16.689 ± 0.023,Lawrence2012,16.033 ± 0.024,Lawrence2012,...,...,...,...,...,...,...,...,...,...,...,...,,
J0845+3605,08452021+3605515,084520.19+360551.2,,,West2008,8:45:20,36:05:51,131.33422,36.09761,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,-19.8 ± 10.1,-25.5 ± 13.2,,,,31.6 ± 29.1,Schmidt2010;West2008,15.816 ± 0.067,15.009 ± 0.065,14.452 ± 0.081,14.227 ± 0.031,14.023 ± 0.049,> 12.400,,,,24.46 ± 0.80,24.19 ± 0.37,22.79 ± 0.17,20.24 ± 0.03,18.41 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0847-1532,08472872-1532372,084728.83-153239.4,,2MASSI J0847287-153237,Cruz2003,8:47:29,-15:32:37,131.8696665,-15.543667,L2,Cruz2003,...,...,...,...,...,...,...,16.96,0.28,0.28,Dieterich2014,133.4 ± 8.5,-200.6 ± 9.3,...,...,...,...,...,13.513 ± 0.023,12.629 ± 0.026,12.061 ± 0.021,11.698 ± 0.024,11.453 ± 0.022,11.018 ± 0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0847+0350,...,...,,ULAS J084743.93+035040.2 ,Burningham2013,8:47:44,3:50:40,131.93304,3.8445561,...,...,T5,Burningham2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,19.61 ± 0.05,Burningham2013,18.53 ± 0.04,Burningham2013,18.71 ± 0.03,Burningham2013,18.99 ± 0.08,Burningham2013,,,,,,,,,,,,,,
J0847+0138,08475148+0138110,084751.45+013810.8,084751.48+013811.0,,Zhang2009,8:47:51,1:38:11,131.9644995,1.636389,L4,Zhang2009,L3,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-57.0 ± 14.5,-24.6 ± 15.0,-655.08 ± 0.00,-80.43 ± 0.00,Zhang2009,15.9 ± 13.2,Schmidt2010,16.231 ± 0.129,15.115 ± 0.096,14.410 ± 0.084,13.929 ± 0.029,13.653 ± 0.043,> 12.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0847+2607,08475895+2607241,084758.89+260723.7,,,West2008,8:47:59,26:07:24,131.99553,26.1233,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,-70.9 ± 9.0,-33.8 ± 10.0,,,,-5.6 ± 5.0,West2008,14.920 ± 0.031,14.129 ± 0.035,13.689 ± 0.038,13.346 ± 0.025,13.070 ± 0.036,> 12.156,,,,24.27 ± 1.20,24.48 ± 0.55,21.83 ± 0.09,19.10 ± 0.02,17.17 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
