Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0006+1406,00063258+1406064,000632.67+140606.6,000632.60+140606.4,,West2008,0:06:33,14:06:06,1.6358333,14.101778,L0,West2008,L0.5,Bardalez-Gagliuffi2014,Galactic Extinction > 0.2 mag,West2008,...,...,...,...,...,...,...,92.5 ± 12.4,18.5 ± 13.4,,,,25.1 ± 4.1,West2008;Schmidt2010,...,...,...,14.278 ± 0.032,14.088 ± 0.052,> 12.059,,,,23.59 ± 0.65,24.11 ± 0.51,22.72 ± 0.18,20.12 ± 0.03,18.30 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+1512,00064683+1512260,000646.77+151225.6,000646.81+151225.8,,Zhang2010,0:06:47,15:12:26,1.6950417,15.207167,L4::,Zhang2010,L4.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-65.1 ± 12.1,-32.7 ± 12.6,,,,...,...,16.221 ± 0.091,15.247 ± 0.076,14.811 ± 0.122,14.114 ± 0.030,13.928 ± 0.047,> 12.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-0852,00064916-0852457,000649.11-085249.3,000649.16-085246.3,,West2008,0:06:49,-8:52:46,,,M9,West2008,M8 + T5:,Burgasser2012,Binary,Burgasser2012,...,...,...,...,...,...,...,-63.4 ± 10.9,-315.3 ± 12.2,,,,8.3 ± 5.0,West2008,14.143 ± 0.028,13.551 ± 0.027,13.132 ± 0.038,12.728 ± 0.024,12.346 ± 0.027,11.562 ± 0.206,,,,22.47 ± 0.44,23.01 ± 0.20,21.04 ± 0.06,18.22 ± 0.02,16.46 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-6436,00065794-6436542,000658.07-643654.8,,...,Martín2010 ; Tinney2010,0:06:58,-64:36:54,1.7414167,-64.615056,L0,Tinney2010,...,...,Young,Tinney2010,THA,Candidate,Gagne2014a,...,...,...,...,83.3 ± 3.6,-65.1 ± 10.2,...,...,,...,...,13.385 ± 0.023,12.664 ± 0.029,12.169 ± 0.032,11.715 ± 0.022,11.393 ± 0.023,11.043 ± 0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0007+0112,,...,,ULAS J000734.90+011247.1 ,Burningham2013,0:07:35,1:12:47,1.8954167,1.2131864,...,...,T7,Burningham2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,19.22 ± 0.07,Burningham2013,18.05 ± 0.04,Burningham2013,...         ,Burningham2013,...,Burningham2013,,,,,,,,,,,,,,
J0008-1739,...,000849.75-173922.9,...,WISEPC J000849.76-173922.6,Kirkpatrick2011,0:08:50,-17:39:23,2.2073325,-17.656278,...,...,T6,Kirkpatrick2011,...,...,...,...,...,...,...,...,...,,,...,...,,,,17.03 ± 0.06,17.77 ± 0.13,> 17.0,16.593 ± 0.114,14.543 ± 0.072,> 12.235,8.928 ± 0.381,,,...,...,...,...,...,,,,,,,16.044 ± 0.030,Kirkpatrick2011,14.867 ± 0.021,Kirkpatrick2011,,,,,...,...,...,...,...,...,...,...,,,,,,,,,,,,,X,
J0010-2031,00100009-2031122,001000.17-203111.9,,,Cruz2007,0:10:00,-20:31:12,2.5003755,-20.520056,L0,Cruz2007,M9:,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,100.1 ± 9.1,23.8 ± 9.1,117.55 ± 19.30,30.40 ± 17.32,Jameson2008,...,...,14.134 ± 0.021,13.368 ± 0.028,12.882 ± 0.029,12.505 ± 0.025,12.278 ± 0.026,12.075 ± 0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0010+0100,...,,,ULAS J001041+010013,Day-Jones2013,0:10:41,1:00:12,2.6708333,1.0036111,...,...,L1,Day-Jones2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013+0634,...,001354.39+063448.2,,WISE J001354.39+063448.2,Pinfield2013,0:13:54,6:34:48,3.4767011,6.5800361,...,...,T8,Pinfield2013,...,...,...,...,...,...,...,...,...,,,1170 ± 90,-540 ± 90,Pinfield2013,,,...,...,...,,,,,,,,,,,,,,,,,,17.15 ± 0.03,Pinfield2013,15.16 ± 0.03,Pinfield2013,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013-2235,00135779-2235200,001357.83-223520.9,,2MASSI J0013578-223520,Kendall2003,0:13:58,-22:35:20,3.490791,-22.588889,L4,Kendall2003,L5.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,45.2 ± 10.1,-69.1 ± 10.6,...,...,,...,...,15.775 ± 0.064,14.595 ± 0.062,14.036 ± 0.050,13.293 ± 0.026,13.017 ± 0.033,> 12.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0014-0838,00144919-0838207,001450.14-083823.1,,WISEA J001450.17-083823.4,Kirkpatrick2014,0:14:50,-8:38:23,3.7090784,-8.6398354,L0 sd,Kirkpatrick2014,M9 sd,Luhman2014a,Subdwarf,Luhman2014a,...,...,...,...,...,...,...,1460.0 ± 13.1,-247.5 ± 13.1,,,,...,...,14.469 ± 0.026,13.950 ± 0.026,13.769 ± 0.044,13.410 ± 0.025,13.165 ± 0.034,> 12.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014-4844,00145575-4844171,001456.68-484413.8,,,Kirkpatrick2008,0:14:56,-48:44:17,3.732291,-48.738083,L2.5 p,Kirkpatrick2008,L2.5:,Marocco2013,Peculiar Spectrum,Kirkpatrick2008,...,...,...,...,...,...,...,864.7 ± 5.7,311.2 ± 11.5,...,...,,...,...,14.050 ± 0.033,13.107 ± 0.035,12.723 ± 0.028,12.244 ± 0.024,11.994 ± 0.023,11.445 ± 0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
